05-11-2023 	 10:32:32 	 4019a934-ecc7-49bb-b1b8-d4e1e218d5d0 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:32:53 	 e4f3a9a3-ca6b-4754-9652-27a5c4b78bed 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:33:15 	 8b7aa28d-f692-4c4c-bcb0-74bdcb9367b5 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:33:21 	 54a89e1c-58fc-497b-8189-11ff45b30a3c 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:34:49 	 f611cacf-c4df-434b-b6d3-378723b6d371 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:36:43 	 b1085e4e-dc6c-4cd1-aa3c-969748228787 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:39:51 	 cbd71ca1-3c64-481f-b8bc-bd8ccfedf793 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:43:07 	 a49d5c20-ff8c-4ece-b107-b68e1406010d 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:44:00 	 e9f3884e-9d21-43e3-8b3b-0663d0e9560a 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:47:36 	 e3709f63-9b74-4e3e-870e-c586ccc873d9 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:47:39 	 66106a83-ae71-42d6-9b7e-c48ec80f2890 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:49:30 	 fa3d0af7-f3dc-403b-a208-45d955669735 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:50:24 	 60f91b77-f04c-43b8-b373-82b7dcd07102 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:50:44 	 225faf6f-f498-427f-a775-c18c4fb4a292 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:51:15 	 39f1bc89-27ea-4d02-b0bc-f2753424d3fd 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:52:29 	 921e1cc3-686b-40c6-8547-8e4191df0232 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:53:43 	 81577719-f58b-4a28-8168-11ed58388c90 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 10:54:57 	 42dea8f8-46da-465b-8652-f7771d5176b5 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:11:13 	 281f7702-7338-460d-a59b-c4433894d034 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:12:03 	 27ecf466-754a-47a0-8c8c-dfd19b243ed9 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:13:18 	 73c92b12-2e0a-42c1-a994-90be861ccb12 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:13:53 	 dad48f1f-b629-459b-aa62-02d616697279 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:15:21 	 d5e054c3-8eb7-4eec-bdeb-9521db9ec2de 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:17:06 	 8a10c136-f223-4fce-b316-f536697f3abe 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:18:18 	 c6d75ec3-c6fe-4116-b362-5e16e85698cd 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:23:38 	 a045368a-0bf8-453a-9afd-16d4cfa45731 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:24:30 	 fbd43e86-8f4d-4d31-b672-e99ab4c25eba 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:26:03 	 335d7a0a-8247-42fa-8ab0-14c769e3f3e2 	 GET	undefined	/states/ks/funfact 
05-11-2023 	 11:26:16 	 50e92cf9-b97c-44d5-9dca-4e71fa84fa5c 	 GET	undefined	/states/ks/funfact 
